2.13,2.04,2.15
2.26,2.08,2.16
2.06,2.04,2.15
2.13,2.05,2.15
2.5,2.13,2.18
2.43,2.13,2.18
2.27,2.11,2.17
2.9,2.25,2.22
2.77,2.24,2.21
1.97,2.15,2.18
2.71,2.31,2.23
2.23,2.2,2.19
2.04,2.16,2.18
1.96,2.13,2.17
2.05,2.15,2.17
5.22,2.84,2.42
1.94,2.27,2.76
2.08,2.29,2.76
1.99,2.26,2.74
2.45,2.35,2.77
2.38,2.34,2.76
2.76,2.42,2.78
2.81,2.44,2.78
2.68,2.43,2.77
2.5,2.4,2.76
2.43,2.38,2.75
2.58,2.42,2.76
2.48,2.4,2.75
2.33,2.37,2.73
2.2,2.34,2.72
2.26,2.35,2.72
2.29,2.35,2.71
2.33,2.36,2.71
2.27,2.35,2.7
2,2.28,2.68
2.15,2.31,2.68
1.89,2.25,2.65
2.06,2.27,2.66
